pub_date,open,close,low,high,amount,vol,tor,vr,ma5,ma10,ma20
2017-12-22,61.78,61.76,61.42,62.89,1671151616.0,269054.0,2.27,0.62,60.69,61.18
2017-12-21,61.0,61.79,60.85,62.44,2382536192.0,385657.0,3.26,0.88,60.58,61.06
2017-12-20,59.91,61.5,58.9,62.05,2837125120.0,467803.0,3.95,1.13,60.38,60.99
2017-12-19,58.74,59.68,58.5,59.77,1815896704.0,306564.0,2.59,0.7,60.55,61.24
2017-12-18,62.52,58.73,58.58,62.86,3331239936.0,554884.0,4.69,1.26,60.99,61.56
2017-12-15,61.97,61.2,60.79,62.85,2715096064.0,438469.0,3.71,1.0,61.67,62.46
2017-12-14,62.0,60.79,60.46,62.29,2631685632.0,430326.0,3.64,0.96,61.53,63.22
2017-12-13,61.97,62.36,61.2,62.39,2050636800.0,331171.0,2.8,0.65,61.61,63.72
2017-12-12,62.4,61.89,61.56,63.19,2706054912.0,434736.0,3.68,0.75,61.94,64.2
2017-12-11,60.45,62.13,60.01,63.0,3476842240.0,561846.0,4.75,0.98,62.12,64.71
2017-12-08,61.69,60.5,60.5,62.76,2717264896.0,440001.0,3.74,0.7,63.25,64.65
2017-12-07,62.85,61.16,61.11,63.1,2878759680.0,464353.0,3.94,0.73,64.9,64.92
2017-12-06,62.93,64.0,60.8,64.52,3984800256.0,634805.0,5.39,0.97,65.84,65.49
2017-12-05,67.0,62.81,61.5,67.6,5156124672.0,804184.0,6.83,1.23,66.46,66.21
2017-12-04,68.95,67.78,66.36,68.95,3615470336.0,535137.0,4.54,0.8,67.29,66.95
2017-12-01,65.98,68.74,64.8,69.8,4767738880.0,697560.0,5.92,1.04,66.05,67.19
2017-11-30,65.06,65.86,64.51,66.97,3224357888.0,491681.0,4.18,0.66,64.95,67.03
2017-11-29,66.5,67.09,64.81,68.86,4955495936.0,742635.0,6.31,0.92,65.14,67.19
2017-11-28,62.0,67.0,61.81,67.71,5233040896.0,809736.0,6.88,1.03,65.96,66.78
2017-11-27,63.51,61.55,60.91,64.59,3724579328.0,589067.0,5.0,0.69,66.6,66.71
2017-11-24,66.8,63.24,63.0,67.29,4660727808.0,718345.0,6.1,0.77,68.34,66.97
2017-11-23,69.6,66.82,66.03,69.69,5837762560.0,859166.0,7.3,0.88,69.12,66.47
2017-11-22,70.7,71.18,68.9,74.76,7590581248.0,1056079.0,8.97,1.09,69.23,65.72
2017-11-21,70.25,70.19,68.2,70.61,4978631168.0,716818.0,6.09,0.68,67.6,64.51
2017-11-20,68.0,70.26,67.5,70.51,6541935616.0,944189.0,8.02,0.85,66.82,63.5
2017-11-17,67.36,67.15,66.1,70.7,7331790848.0,1067832.0,9.07,1.04,65.59,62.21
2017-11-16,65.19,67.38,64.3,69.28,7209084416.0,1076629.0,9.14,1.17,63.82,61.2
2017-11-15,66.0,63.0,62.12,67.35,6598210560.0,1022342.0,8.68,1.23,62.21,60.14
2017-11-14,65.5,66.33,64.87,68.79,7709167616.0,1160953.0,9.86,1.53,61.42,59.15
2017-11-13,58.0,64.11,57.67,64.11,7799449600.0,1246284.0,10.58,2.03,60.18,57.88
2017-11-10,59.95,58.28,58.25,60.88,3677093376.0,617147.0,5.24,0.95,58.83,56.7
2017-11-09,59.31,59.32,57.5,59.88,3270207488.0,556901.0,4.73,0.77,58.57,55.84
2017-11-08,60.15,59.08,58.72,60.33,3512435456.0,591383.0,5.02,0.86,58.07,54.96
2017-11-07,58.61,60.1,58.61,60.5,4681067008.0,786381.0,6.68,1.21,56.88,54.15
2017-11-06,57.11,57.37,56.3,57.94,2996350208.0,524557.0,4.45,0.78,55.58,53.14
2017-11-03,56.5,57.0,56.06,58.97,4571828224.0,795218.0,6.75,1.41,54.56,52.42
2017-11-02,53.25,56.8,53.25,57.8,5071297024.0,904497.0,7.68,2.03,53.1,51.72
2017-11-01,53.6,53.12,53.07,54.54,2379180800.0,442104.0,3.75,1.03,51.85,50.96
2017-10-31,52.23,53.6,52.01,54.0,3151693568.0,592626.0,5.03,1.68,51.42,50.49
2017-10-30,50.0,52.3,48.88,53.0,3312297984.0,647787.0,5.5,2.38,50.7,50.17
2017-10-27,50.42,49.7,49.57,50.78,1133167360.0,225883.0,1.92,0.78,50.27,50.26
2017-10-26,51.0,50.54,49.9,51.0,1594266112.0,316082.0,2.68,1.04,50.33,50.84
2017-10-25,50.1,50.98,49.87,51.26,1814730880.0,357305.0,3.03,1.13,50.07,51.26
2017-10-24,50.12,49.99,49.2,50.43,1093980928.0,219640.0,1.87,0.55,49.56,51.7
2017-10-23,50.3,50.12,49.9,50.94,1230609408.0,244740.0,2.08,0.55,49.63,52.33
2017-10-20,49.3,50.03,48.3,50.35,1574244864.0,318716.0,2.71,0.71,50.25,52.85
2017-10-19,49.58,49.22,49.0,50.18,1848249984.0,372771.0,3.17,0.87,51.36,53.21
